Population (Age 18 to 39) for Georgia by County
"All Races (includes Hispanic/Latino), Both Sexes, 2019-2023"
Sorted by Value

County,FIPS,Value (Percent),People (Age 18-39),Rank within US (of 3143 counties)
"Glynn County",13127,24.8,21087,"1,184"
"Jones County",13169,24.8,7079,"1,184"
"Morgan County",13211,24.8,5120,"1,184"
"Hart County",13147,24.7,6536,"1,154"
"Taliaferro County",13265,24.7,429,"1,154"
"Warren County",13301,24.6,1271,"1,125"
"Pickens County",13227,24.5,8393,"1,089"
"Harris County",13145,24.4,8678,"1,051"
"Terrell County",13273,24.4,2180,"1,051"
"Elbert County",13105,24.2,4781,"992"
"Early County",13099,24.1,2577,"960"
"Hancock County",13141,24.1,2081,"960"
"Schley County",13249,24.1,1094,"960"
"Baker County",13007,23.9,676,"909"
"Meriwether County",13199,23.9,4968,"909"
"McIntosh County",13191,23.8,2657,"879"
"Miller County",13201,23.7,1392,"851"
"Twiggs County",13289,23.7,1864,"851"
"Worth County",13321,23.6,4863,"817"
"Crawford County",13079,23.2,2821,"708"
"Jasper County",13159,23.2,3561,"708"
"Fayette County",13113,23.1,27884,"679"
"Jeff Davis County",13161,23.1,3433,"679"
"Oconee County",13219,23.1,9878,"679"
"Rabun County",13241,22.8,3896,"599"
"Candler County",13043,22.7,2491,"578"
"Clay County",13061,22.3,635,"482"
"Towns County",13281,21.6,2755,"365"
"Putnam County",13237,21.5,4836,"348"
"Seminole County",13253,21.4,1955,"330"
"Wilkes County",13317,21.3,2035,"320"
"Talbot County",13263,21.2,1220,"302"
"Lincoln County",13181,21.1,1643,"288"
"Gilmer County",13123,20.9,6680,"263"
"Quitman County",13239,20.4,426,"207"
"Fannin County",13111,18.8,4825,"93"
"Greene County",13133,18.8,3674,"93"
"Union County",13291,18.1,4632,"65"

Suggested Citation:
HDPulse: An Ecosystem of Minority Health and Health Disparities Resources. National Institute on Minority Health and Health Disparities. Created 3/15/2025. Available from https://hdpulse.nimhd.nih.gov

Notes:
"NA: Data not available [http://hdpulse.nimhd.nih.gov/data/datanotavailable.html] for this combination of geography, cancer site, age, and race/ethnicity."
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population (Age 18 to 39), see the dictionary at http://hdpulse.nimhd.nih.gov/dictionary.php#population."
