Population (Age 40 and over) for Georgia by County
"All Races (includes Hispanic/Latino), Both Sexes, 2019-2023"
Sorted by Value

County,FIPS,Value (Percent),People (Age 40 And Over),Rank within US (of 3143 counties)
"Warren County",13301,55.2,2857,"787"
"Pulaski County",13235,55.3,5471,"770"
"Jenkins County",13165,55.9,4852,"666"
"White County",13311,55.9,15893,"666"
"Crawford County",13079,56.1,6829,"640"
"Pickens County",13227,56.4,19300,"607"
"Johnson County",13167,56.7,5214,"569"
"Taliaferro County",13265,57.3,997,"511"
"Twiggs County",13289,57.3,4511,"511"
"Baker County",13007,57.7,1632,"465"
"Clay County",13061,58.1,1657,"424"
"Wilkes County",13317,58.1,5549,"424"
"Seminole County",13253,58.5,5336,"371"
"Dooly County",13093,58.6,6456,"366"
"Putnam County",13237,58.9,13271,"340"
"Lincoln County",13181,59.9,4654,"262"
"Gilmer County",13123,60.5,19352,"229"
"Hancock County",13141,60.8,5246,"213"
"Rabun County",13241,60.9,10421,"206"
"McIntosh County",13191,61.1,6832,"192"
"Talbot County",13263,62.5,3594,"143"
"Greene County",13133,63.6,12450,"110"
"Fannin County",13111,65.3,16714,"66"
"Towns County",13281,65.9,8389,"56"
"Union County",13291,66.6,17046,"49"
"Quitman County",13239,70.0,1464,"18"

Suggested Citation:
HDPulse: An Ecosystem of Minority Health and Health Disparities Resources. National Institute on Minority Health and Health Disparities. Created 3/15/2025. Available from https://hdpulse.nimhd.nih.gov

Notes:
"NA: Data not available [http://hdpulse.nimhd.nih.gov/data/datanotavailable.html] for this combination of geography, cancer site, age, and race/ethnicity."
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population (Age 40 and over), see the dictionary at http://hdpulse.nimhd.nih.gov/dictionary.php#population."
