Poverty (Families below poverty) for Georgia by County
"All Races (includes Hispanic/Latino), Both Sexes, All Ages, 2019-2023"
Sorted by Value

County,FIPS,Value (Percent),Families (Below Poverty),Rank within US (of 3143 counties)
"Habersham County",13137,9.4,1060,"1,665"
"Hall County",13139,9.2,4834,"1,613"
"Pickens County",13227,9.1,872,"1,580"
"Douglas County",13097,9.0,3321,"1,551"
"Fulton County",13121,9.0,21381,"1,551"
"Gordon County",13129,9.0,1358,"1,551"
"Hart County",13147,9.0,640,"1,551"
"Lumpkin County",13187,8.9,693,"1,520"
"Quitman County",13239,8.9,44,"1,520"
"White County",13311,8.9,682,"1,520"
"Echols County",13101,8.7,82,"1,453"
"Barrow County",13013,8.6,1923,"1,424"
"Towns County",13281,8.6,334,"1,424"
"Fannin County",13111,8.4,650,"1,362"
"Gwinnett County",13135,8.4,20066,"1,362"
"Rabun County",13241,8.3,397,"1,320"
"Walton County",13297,8.3,2199,"1,320"
"Butts County",13035,8.1,538,"1,265"
"Rockdale County",13247,8.1,1914,"1,265"
"Crawford County",13079,8.0,243,"1,231"
"Houston County",13153,8.0,3516,"1,231"
"Oglethorpe County",13221,8.0,301,"1,231"
"Pierce County",13229,8.0,422,"1,231"
"Dawson County",13085,7.8,624,"1,175"
"Henry County",13151,7.6,4697,"1,110"
"Stephens County",13257,7.5,514,"1,082"
"Bartow County",13015,7.4,2135,"1,055"
"Union County",13291,7.3,557,"1,022"
"Monroe County",13207,7.2,540,"988"
"Pike County",13231,7.2,357,"988"
"Catoosa County",13047,7.1,1333,"964"
"Dade County",13083,6.7,294,"833"
"Glascock County",13125,6.5,46,"777"
"Greene County",13133,6.3,348,"721"
"Harris County",13145,6.2,610,"691"
"Lamar County",13171,6.2,279,"691"
"Morgan County",13211,6.2,366,"691"
"Bryan County",13029,6.1,765,"666"
"Cobb County",13067,5.5,10678,"501"
"Coweta County",13077,5.5,2257,"501"
"Effingham County",13103,5.4,979,"476"
"Columbia County",13073,5.3,2040,"458"
"Jackson County",13157,5.3,1125,"458"
"Cherokee County",13057,4.8,3590,"332"
"Paulding County",13223,4.7,2198,"309"
"Lee County",13177,4.6,425,"292"
"Oconee County",13219,4.1,497,"191"
"Fayette County",13113,3.7,1265,"133"
"Forsyth County",13117,3.0,2104,"61"

Suggested Citation:
HDPulse: An Ecosystem of Minority Health and Health Disparities Resources. National Institute on Minority Health and Health Disparities. Created 3/15/2025. Available from https://hdpulse.nimhd.nih.gov

Notes:
"NA: Data not available [http://hdpulse.nimhd.nih.gov/data/datanotavailable.html] for this combination of geography, cancer site, age, and race/ethnicity."
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty (Families below poverty), see the dictionary at http://hdpulse.nimhd.nih.gov/dictionary.php#poverty."
