Workforce (Unemployed) for Georgia by County
"All Races (includes Hispanic/Latino), Both Sexes, Ages 16+, 2019-2023"
Sorted by Value

County,FIPS,Value (Percent),People (Unemployed),Rank within US (of 3143 counties)
"Burke County",13033,5.8,633,"2,339"
"Effingham County",13103,5.8,1945,"2,339"
"Harris County",13145,5.8,969,"2,339"
"Polk County",13233,5.8,1095,"2,339"
"Rockdale County",13247,5.8,2749,"2,339"
"Chatham County",13051,5.7,8611,"2,295"
"Dooly County",13093,5.7,246,"2,295"
"Laurens County",13175,5.7,1230,"2,295"
"Lowndes County",13185,5.7,3053,"2,295"
"Screven County",13251,5.7,339,"2,295"
"Bryan County",13029,5.6,1250,"2,254"
"Henry County",13151,5.6,7182,"2,254"
"Lumpkin County",13187,5.6,908,"2,254"
"Webster County",13307,5.6,64,"2,254"
"Baldwin County",13009,5.5,956,"2,198"
"Evans County",13109,5.5,253,"2,198"
"Troup County",13285,5.5,1830,"2,198"
"Fulton County",13121,5.4,32429,"2,132"
"Long County",13183,5.4,383,"2,132"
"Miller County",13201,5.4,145,"2,132"
"Spalding County",13255,5.4,1681,"2,132"
"Walton County",13297,5.4,2719,"2,132"
"Whitfield County",13313,5.4,2733,"2,132"
"Haralson County",13143,5.3,772,"2,079"
"Wilkinson County",13319,5.3,198,"2,079"
"Heard County",13149,5.2,254,"2,015"
"Pulaski County",13235,5.2,197,"2,015"
"Stephens County",13257,5.2,620,"2,015"
"Clarke County",13059,5.1,3494,"1,957"
"Greene County",13133,5.1,424,"1,957"
"Ben Hill County",13017,5.0,360,"1,898"
"Butts County",13035,5.0,551,"1,898"
"Franklin County",13119,5.0,521,"1,898"
"Houston County",13153,5.0,4013,"1,898"
"Jefferson County",13163,5.0,336,"1,898"
"Jenkins County",13165,5.0,160,"1,898"
"Murray County",13213,5.0,1002,"1,898"
"Seminole County",13253,5.0,183,"1,898"
"Telfair County",13271,5.0,171,"1,898"
"Walker County",13295,5.0,1623,"1,898"
"Coffee County",13069,4.9,864,"1,839"
"Jeff Davis County",13161,4.9,297,"1,839"
"Chattooga County",13055,4.8,476,"1,766"
"Columbia County",13073,4.8,3692,"1,766"
"Sumter County",13261,4.8,642,"1,766"
"Ware County",13299,4.8,670,"1,766"
"Washington County",13303,4.8,395,"1,766"
"Camden County",13039,4.7,1067,"1,695"
"Madison County",13195,4.7,655,"1,695"
"Stewart County",13259,4.7,71,"1,695"
"Bartow County",13015,4.6,2580,"1,626"
"Glynn County",13127,4.6,1774,"1,626"
"Taliaferro County",13265,4.6,33,"1,626"
"Cobb County",13067,4.5,19668,"1,561"
"Dade County",13083,4.5,335,"1,561"
"Paulding County",13223,4.5,4011,"1,561"
"Clay County",13061,4.4,52,"1,487"
"Cook County",13075,4.4,351,"1,487"
"Dawson County",13085,4.4,649,"1,487"
"Pike County",13231,4.4,402,"1,487"
"Putnam County",13237,4.4,437,"1,487"
"Floyd County",13115,4.3,1978,"1,433"
"Berrien County",13019,4.2,334,"1,363"
"Fannin County",13111,4.2,465,"1,363"
"Colquitt County",13071,4.1,862,"1,291"
"Crawford County",13079,4.1,229,"1,291"
"Gwinnett County",13135,4.1,20730,"1,291"
"Marion County",13197,4.1,131,"1,291"
"Schley County",13249,4.1,81,"1,291"
"Candler County",13043,4.0,191,"1,219"
"Monroe County",13207,4.0,572,"1,219"
"Pierce County",13229,4.0,366,"1,219"
"Twiggs County",13289,4.0,116,"1,219"
"Catoosa County",13047,3.9,1326,"1,152"
"Hall County",13139,3.9,4083,"1,152"
"Toombs County",13279,3.9,458,"1,152"
"Hart County",13147,3.8,441,"1,082"
"Lincoln County",13181,3.8,125,"1,082"
"Pickens County",13227,3.8,626,"1,082"
"Talbot County",13263,3.8,94,"1,082"
"Fayette County",13113,3.7,2137,"1,027"
"Jones County",13169,3.7,493,"1,027"
"McDuffie County",13189,3.7,358,"1,027"
"Appling County",13001,3.6,273,"951"
"Echols County",13101,3.6,66,"951"
"Gordon County",13129,3.6,1009,"951"
"Irwin County",13155,3.6,160,"951"
"Lee County",13177,3.6,621,"951"
"Union County",13291,3.6,363,"951"
"Lamar County",13171,3.5,308,"882"
"Towns County",13281,3.5,170,"882"
"Clinch County",13065,3.4,92,"822"
"Dodge County",13091,3.4,262,"822"
"Forsyth County",13117,3.4,4675,"822"
"Jackson County",13157,3.4,1368,"822"
"Lanier County",13173,3.4,137,"822"
"Barrow County",13013,3.3,1498,"755"
"Oglethorpe County",13221,3.3,246,"755"
"Tift County",13277,3.3,597,"755"
"White County",13311,3.3,442,"755"
"Bacon County",13005,3.2,146,"706"
"Cherokee County",13057,3.2,4806,"706"
"McIntosh County",13191,3.2,143,"706"
"Oconee County",13219,3.0,650,"602"
"Morgan County",13211,2.9,299,"544"
"Atkinson County",13003,2.8,105,"503"
"Brantley County",13025,2.8,212,"503"
"Coweta County",13077,2.8,2138,"503"
"Grady County",13131,2.8,339,"503"
"Banks County",13011,2.7,238,"475"
"Upson County",13293,2.7,317,"475"
"Wilkes County",13317,2.4,96,"369"
"Habersham County",13137,2.3,486,"334"
"Rabun County",13241,2.1,151,"271"
"Gilmer County",13123,1.8,254,"207"
"Glascock County",13125,1.1,13,"90"

Suggested Citation:
HDPulse: An Ecosystem of Minority Health and Health Disparities Resources. National Institute on Minority Health and Health Disparities. Created 3/15/2025. Available from https://hdpulse.nimhd.nih.gov

Notes:
"NA: Data not available [http://hdpulse.nimhd.nih.gov/data/datanotavailable.html] for this combination of geography, cancer site, age, and race/ethnicity."
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Workforce (Unemployed), see the dictionary at http://hdpulse.nimhd.nih.gov/dictionary.php#workforce."
