Population (Age Under 18) for Georgia by County
"All Races (includes Hispanic/Latino), Both Sexes, 2019-2023"
Sorted by Value

County,FIPS,Value (Percent),People (Age Under 18),Rank within US (of 3143 counties)
"Toombs County",13279,26.4,7124,"241"
"Effingham County",13103,26.6,17911,"228"
"Randolph County",13243,26.7,1673,"215"
"Clayton County",13063,27.3,81489,"176"
"Liberty County",13179,27.7,18494,"150"
"Long County",13183,27.7,4857,"150"
"Echols County",13101,27.9,1034,"143"
"Bryan County",13029,29.3,13656,"96"

Suggested Citation:
HDPulse: An Ecosystem of Minority Health and Health Disparities Resources. National Institute on Minority Health and Health Disparities. Created 3/15/2025. Available from https://hdpulse.nimhd.nih.gov

Notes:
"NA: Data not available [http://hdpulse.nimhd.nih.gov/data/datanotavailable.html] for this combination of geography, cancer site, age, and race/ethnicity."
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population (Age Under 18), see the dictionary at http://hdpulse.nimhd.nih.gov/dictionary.php#population."
