Education (At least bachelor's degree) for Georgia by County
Population Ages 25+
"All Races (includes Hispanic/Latino), Both Sexes, 2019-2023"
Sorted by Value

County,FIPS,Value (Percent),People (Education: At Least Bachelor's Degree),Rank within US (of 3143 counties)
"Butts County",13035,13.9,2541,"2,810"
"Crawford County",13079,14.0,1199,"2,804"
"Wayne County",13305,14.0,2876,"2,804"
"Wilcox County",13315,14.1,897,"2,795"
"Burke County",13033,14.3,2225,"2,768"
"Echols County",13101,14.4,332,"2,759"
"Polk County",13233,14.5,4176,"2,745"
"Decatur County",13087,14.6,2836,"2,729"
"Tattnall County",13267,14.6,2489,"2,729"
"Screven County",13251,14.7,1539,"2,722"
"Upson County",13293,14.8,2849,"2,710"
"Elbert County",13105,14.9,2079,"2,694"
"Glascock County",13125,14.9,292,"2,694"
"Stephens County",13257,14.9,2733,"2,694"
"Randolph County",13243,15.0,637,"2,680"
"Talbot County",13263,15.0,658,"2,680"
"Ware County",13299,15.0,3643,"2,680"
"Evans County",13109,15.1,1058,"2,665"
"Dodge County",13091,15.2,2185,"2,646"
"Grady County",13131,15.3,2699,"2,629"
"Crisp County",13081,15.5,2144,"2,592"
"Colquitt County",13071,15.7,4735,"2,557"
"Wilkes County",13317,15.7,1112,"2,557"
"Seminole County",13253,15.8,1065,"2,537"
"Early County",13099,16.1,1128,"2,490"
"Lincoln County",13181,16.1,936,"2,490"
"Irwin County",13155,16.6,1070,"2,412"
"Cook County",13075,16.7,1908,"2,392"
"Baker County",13007,16.9,346,"2,363"
"Franklin County",13119,16.9,2735,"2,363"
"Banks County",13011,17.3,2300,"2,308"
"Haralson County",13143,17.4,3684,"2,295"
"Washington County",13303,17.5,2449,"2,276"
"Gordon County",13129,17.7,7011,"2,246"
"Laurens County",13175,17.8,5942,"2,228"
"McDuffie County",13189,17.8,2626,"2,228"
"Spalding County",13255,17.9,8380,"2,211"
"Hart County",13147,18.1,3499,"2,177"
"Taylor County",13269,18.1,1014,"2,177"
"Bleckley County",13023,18.3,1476,"2,138"
"Pierce County",13229,18.3,2458,"2,138"
"Jones County",13169,18.4,3653,"2,116"
"McIntosh County",13191,18.6,1645,"2,086"
"Dade County",13083,19.0,2171,"1,995"
"Schley County",13249,19.0,596,"1,995"
"Lanier County",13173,19.1,1279,"1,977"
"Whitfield County",13313,19.3,13029,"1,953"
"Lamar County",13171,19.5,2503,"1,914"
"Toombs County",13279,19.5,3351,"1,914"
"Jasper County",13159,19.9,2094,"1,854"
"Liberty County",13179,19.9,7685,"1,854"
"Walker County",13295,20.1,9714,"1,815"
"Madison County",13195,20.2,4310,"1,791"
"Montgomery County",13209,20.2,1164,"1,791"
"Tift County",13277,20.2,5481,"1,791"
"Barrow County",13013,21.0,12138,"1,640"
"Clayton County",13063,21.3,40227,"1,588"
"Sumter County",13261,21.3,3923,"1,588"
"Pike County",13231,21.4,2851,"1,570"
"Miller County",13201,21.9,882,"1,502"
"Camden County",13039,22.4,8141,"1,430"
"Carroll County",13045,22.4,17521,"1,430"
"Troup County",13285,22.5,10481,"1,419"
"Clay County",13061,22.6,443,"1,410"
"Fannin County",13111,22.6,4520,"1,410"
"Gilmer County",13123,22.7,5452,"1,402"
"Bartow County",13015,22.9,17258,"1,372"
"Dougherty County",13095,23.2,12752,"1,334"
"Newton County",13217,23.6,17683,"1,293"
"Thomas County",13275,23.6,7375,"1,293"
"Baldwin County",13009,24.1,6630,"1,237"
"Richmond County",13245,24.1,32755,"1,237"
"Habersham County",13137,24.2,7778,"1,222"
"Peach County",13225,24.3,4457,"1,199"
"White County",13311,24.3,4893,"1,199"
"Catoosa County",13047,24.5,11679,"1,171"
"Oglethorpe County",13221,24.5,2627,"1,171"
"Floyd County",13115,24.9,16438,"1,125"
"Pickens County",13227,24.9,6310,"1,125"
"Walton County",13297,24.9,16846,"1,125"
"Union County",13291,25.7,5191,"1,028"
"Bibb County",13021,26.0,26859,"999"
"Hall County",13139,26.7,37144,"948"
"Effingham County",13103,26.8,11839,"941"
"Lowndes County",13185,27.1,19289,"912"
"Jackson County",13157,27.3,14833,"887"
"Paulding County",13223,27.4,31505,"878"
"Chattahoochee County",13053,27.6,1173,"863"
"Henry County",13151,28.0,44927,"830"
"Putnam County",13237,28.3,4685,"814"
"Monroe County",13207,28.7,5791,"784"
"Rockdale County",13247,29.1,18436,"758"
"Muscogee County",13215,29.7,40067,"723"
"Rabun County",13241,29.9,3947,"713"
"Morgan County",13211,30.1,4441,"701"
"Glynn County",13127,30.4,18438,"680"
"Bulloch County",13031,30.8,14256,"654"
"Douglas County",13097,30.8,29327,"654"
"Lumpkin County",13187,31.5,6732,"615"
"Houston County",13153,32.3,35447,"568"
"Towns County",13281,32.8,3212,"533"
"Lee County",13177,33.5,7280,"495"
"Bryan County",13029,34.6,10169,"443"
"Coweta County",13077,34.7,35594,"439"
"Harris County",13145,34.7,8645,"439"
"Dawson County",13085,35.8,7383,"386"
"Greene County",13133,36.4,5303,"365"
"Chatham County",13051,36.8,75082,"349"
"Columbia County",13073,37.8,40490,"316"
"Gwinnett County",13135,38.7,240720,"289"
"Cherokee County",13057,39.5,74184,"267"
"DeKalb County",13089,46.7,244312,"133"
"Fayette County",13113,48.1,39899,"111"
"Clarke County",13059,48.7,36142,"99"
"Cobb County",13067,50.4,263860,"83"
"Oconee County",13219,54.9,15278,"49"
"Forsyth County",13117,56.6,97038,"38"
"Fulton County",13121,58.0,428540,"31"

Suggested Citation:
HDPulse: An Ecosystem of Minority Health and Health Disparities Resources. National Institute on Minority Health and Health Disparities. Created 3/15/2025. Available from https://hdpulse.nimhd.nih.gov

Notes:
"NA: Data not available [http://hdpulse.nimhd.nih.gov/data/datanotavailable.html] for this combination of geography, cancer site, age, and race/ethnicity."
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education (At least bachelor's degree), see the dictionary at http://hdpulse.nimhd.nih.gov/dictionary.php#education."
