Income (Median household income) for Georgia by County
"All Races (includes Hispanic/Latino), Both Sexes, All Ages, 2019-2023"
Sorted by Value

County,FIPS,Value (Dollars),Rank within US (of 3141 counties)
"Clayton County",13063,"58,507","2,065"
"Madison County",13195,"58,784","2,050"
"Dade County",13083,"58,936","2,030"
"Liberty County",13179,"59,013","2,017"
"Butts County",13035,"59,221","1,993"
"Chattahoochee County",13053,"59,221","1,993"
"Jasper County",13159,"59,574","1,956"
"Schley County",13249,"59,647","1,951"
"Thomas County",13275,"60,140","1,903"
"Spalding County",13255,"60,217","1,893"
"Crawford County",13079,"60,905","1,830"
"Rabun County",13241,"61,466","1,771"
"Echols County",13101,"61,723","1,748"
"Gordon County",13129,"61,997","1,718"
"Floyd County",13115,"62,540","1,671"
"Heard County",13149,"62,907","1,636"
"Putnam County",13237,"64,163","1,537"
"Whitfield County",13313,"64,262","1,529"
"Long County",13183,"64,747","1,467"
"Haralson County",13143,"65,016","1,425"
"Habersham County",13137,"65,622","1,374"
"Union County",13291,"65,697","1,366"
"Murray County",13213,"67,880","1,209"
"Jones County",13169,"68,259","1,181"
"Peach County",13225,"68,365","1,175"
"Lamar County",13171,"68,457","1,165"
"Glynn County",13127,"68,546","1,155"
"Banks County",13011,"68,830","1,134"
"Chatham County",13051,"69,575","1,090"
"White County",13311,"69,747","1,076"
"Oglethorpe County",13221,"69,784","1,074"
"Carroll County",13045,"72,327","880"
"Rockdale County",13247,"72,349","876"
"Lumpkin County",13187,"72,388","873"
"Camden County",13039,"72,399","872"
"Catoosa County",13047,"72,425","871"
"Gilmer County",13123,"72,542","857"
"Newton County",13217,"73,732","783"
"Pickens County",13227,"75,293","698"
"Hall County",13139,"77,430","607"
"Barrow County",13013,"77,477","605"
"DeKalb County",13089,"77,683","592"
"Bartow County",13015,"79,431","527"
"Houston County",13153,"80,743","482"
"Douglas County",13097,"80,764","480"
"Henry County",13151,"81,612","456"
"Walton County",13297,"82,381","434"
"Monroe County",13207,"82,863","417"
"Pike County",13231,"84,184","379"
"Greene County",13133,"84,530","372"
"Gwinnett County",13135,"84,823","362"
"Jackson County",13157,"85,012","358"
"Effingham County",13103,"85,465","349"
"Morgan County",13211,"85,692","341"
"Lee County",13177,"88,024","288"
"Dawson County",13085,"88,986","266"
"Harris County",13145,"89,184","264"
"Fulton County",13121,"91,490","235"
"Coweta County",13077,"94,142","208"
"Bryan County",13029,"94,234","205"
"Paulding County",13223,"94,557","201"
"Columbia County",13073,"96,122","180"
"Cobb County",13067,"98,712","159"
"Cherokee County",13057,"105,442","109"
"Fayette County",13113,"108,986","86"
"Oconee County",13219,"115,925","54"
"Forsyth County",13117,"138,000","14"

Suggested Citation:
HDPulse: An Ecosystem of Minority Health and Health Disparities Resources. National Institute on Minority Health and Health Disparities. Created 3/15/2025. Available from https://hdpulse.nimhd.nih.gov

Notes:
"NA: Data not available [http://hdpulse.nimhd.nih.gov/data/datanotavailable.html] for this combination of geography, cancer site, age, and race/ethnicity."
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Income (Median household income), see the dictionary at http://hdpulse.nimhd.nih.gov/dictionary.php#income."
"Median Incomes over 250,000 have been coded to 250,001 by the Census Bureau. [ http://www2.census.gov/acs2012_5yr/summaryfile/ACS_2008-2012_SF_Tech_Doc.pdf ]"
