Heart Disease Death Rates  Table for Georgia by County
"All Races (includes Hispanic/Latino), Both Sexes, All Ages, 2018-2022"
Sorted by Rate

County,FIPS,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Effingham County",13103,201.8 ,185.1, 219.6,116,falling,-2.1 ,-3.2, -0.9
"Hart County",13147,200.3 ,180.5, 221.8,80,stable,1.7 ,-1.5, 11.0
"Walton County",13297,199.7 ,188, 211.9,226,stable,-0.1 ,-2.9, 2.1
"Burke County",13033,198 ,174.5, 223.9,55,falling,-2.9 ,-4.5, -1.5
"Gilmer County",13123,197.9 ,180.2, 217.2,102,rising,4.0 ,1.5, 7.4
"Seminole County",13253,197.3 ,165.6, 234.4,30,falling,-1.9 ,-3.2, -0.5
"Jones County",13169,196.8 ,176.3, 219.1,70,rising,4.9 ,1.0, 12.9
"Mitchell County",13205,196.6 ,173.3, 222.2,54,falling,-2.7 ,-3.5, -2.0
"Monroe County",13207,196.3 ,176.4, 218,75,stable,7.4 ,-2.4, 15.2
"Henry County",13151,196.1 ,187.3, 205.2,414,rising,2.2 ,0.5, 6.1
"Madison County",13195,195.4 ,174.9, 217.7,70,stable,-0.7 ,-2.9, 7.8
"Bulloch County",13031,195.3 ,180.5, 211,135,rising,3.2 ,0.6, 10.0
"Bleckley County",13023,194.6 ,165, 228.4,32,stable,-1.0 ,-2.2, 0.2
"Lumpkin County",13187,194.2 ,174.5, 215.7,75,stable,2.7 ,-0.4, 11.5
"Lincoln County",13181,193.4 ,158.5, 234.8,24,stable,10.4 ,-3.4, 19.7
"White County",13311,193.1 ,174.2, 213.7,82,rising,7.4 ,0.8, 17.8
"Bryan County",13029,192.7 ,172.4, 214.6,70,stable,7.6 ,-2.3, 15.8
"Catoosa County",13047,191.8 ,178.9, 205.5,167,stable,0.5 ,-1.2, 7.6
"Paulding County",13223,190.1 ,179.2, 201.4,253,rising,2.1 ,0.6, 4.8
"Colquitt County",13071,187.3 ,170.7, 205.2,96,stable,4.0 ,-2.6, 9.0
"Evans County",13109,185.4 ,154, 221.7,25,falling,-2.2 ,-3.6, -1.0
"Union County",13291,185.2 ,167, 205.4,95,stable,3.9 ,-0.3, 15.0
"Fannin County",13111,185 ,166.8, 205.1,88,stable,-1.6 ,-3.1, 0.0
"Randolph County",13243,184.5 ,146.3, 230.9,20,NA,NA,NA,NA
"Stewart County",13259,184 ,137.2, 243.9,11,NA,NA,NA,NA
"Telfair County",13271,183.6 ,155.8, 215.5,32,falling,-3.6 ,-5.4, -2.2
"Barrow County",13013,183.2 ,169.4, 197.8,139,rising,5.0 ,0.4, 12.5
"Oglethorpe County",13221,183 ,156.7, 212.6,37,stable,2.6 ,-1.5, 16.6
"Morgan County",13211,182.5 ,160.8, 206.7,53,falling,-2.5 ,-3.3, -1.7
"Brooks County",13027,180.9 ,154.7, 210.5,37,falling,-3.5 ,-4.6, -2.5
"Pike County",13231,180.8 ,155.7, 208.8,39,stable,2.5 ,-2.0, 14.0
"Long County",13183,180.3 ,148.1, 217.1,24,falling,-8.1 ,-21.3, -0.8
"Lanier County",13173,180.1 ,144.8, 221.5,19,falling,-3.0 ,-4.7, -1.3
"Worth County",13321,179.8 ,157.2, 205,49,falling,-3.6 ,-5.2, -2.2
"Clarke County",13059,179.4 ,168.1, 191.2,194,stable,0.6 ,-0.7, 5.3
"Greene County",13133,178.3 ,156.5, 202.8,58,stable,1.6 ,-1.8, 8.4
"Habersham County",13137,176.5 ,161.5, 192.7,105,stable,0.9 ,-0.9, 9.1
"Chatham County",13051,174.1 ,167.8, 180.5,603,stable,-0.8 ,-2.2, 3.2
"McIntosh County",13191,173.4 ,144.8, 206.9,32,stable,6.4 ,-1.7, 30.2
"Dawson County",13085,173.3 ,152.5, 196.3,55,stable,0.6 ,-2.1, 6.9
"Taylor County",13269,168.4 ,135.5, 208,19,NA,NA,NA,NA
"Rabun County",13241,168.4 ,147.2, 192.5,50,falling,-2.1 ,-3.4, -0.8
"Glynn County",13127,167.9 ,157.6, 178.7,216,stable,-0.3 ,-1.3, 2.6
"Rockdale County",13247,166.2 ,154.7, 178.2,166,stable,0.8 ,-0.9, 4.2
"Dougherty County",13095,164.1 ,152.7, 176.1,162,falling,-2.6 ,-3.3, -2.0
"Wheeler County",13309,163.7 ,126.9, 208.4,14,falling,-3.1 ,-5.4, -1.1
"Charlton County",13049,163 ,135.2, 195.2,25,falling,-4.1 ,-5.4, -2.9
"Harris County",13145,161.8 ,145, 180.2,72,falling,-2.2 ,-3.8, -0.5
"Cherokee County",13057,160.4 ,153.4, 167.6,425,stable,1.9 ,-0.7, 8.3
"Towns County",13281,159.1 ,137, 185.2,47,stable,1.3 ,-0.9, 6.9
"Hall County",13139,150.6 ,143.5, 157.9,346,stable,0.6 ,-1.0, 4.4
"Oconee County",13219,142.5 ,127.3, 159,66,falling,-3.0 ,-4.4, -1.4
"Fulton County",13121,142.1 ,138.8, 145.5,1423,stable,-1.7 ,-2.4, 0.3
"Chattahoochee County",13053,141.5 ,93.4, 203.7,6,NA,NA,NA,NA
"Cobb County",13067,139.8 ,135.9, 143.9,984,stable,-0.1 ,-1.0, 1.1
"Echols County",13101,137.8 ,88, 205.3,5,NA,NA,NA,NA
"Webster County",13307,134.6 ,78.7, 217.3,5,NA,NA,NA,NA
"Fayette County",13113,134.5 ,126.3, 143.1,210,stable,-0.4 ,-1.3, 1.6
"DeKalb County",13089,133.3 ,129.5, 137.1,990,stable,1.1 ,-0.3, 3.5
"Schley County",13249,132.3 ,93.5, 183.3,8,NA,NA,NA,NA
"Columbia County",13073,131.7 ,123.8, 140,214,rising,6.7 ,2.0, 10.9
"Forsyth County",13117,127.8 ,121.2, 134.7,288,stable,-0.6 ,-2.7, 4.6
"Gwinnett County",13135,125 ,121.2, 128.9,896,stable,-1.1 ,-1.8, 0.3

Suggested Citation:
HDPulse: An Ecosystem of Minority Health and Health Disparities Resources. National Institute on Minority Health and Health Disparities. Created 3/15/2025. Available from https://hdpulse.nimhd.nih.gov

Notes:
Source: Death data provided by the National Vital Statistics System [ https://www.cdc.gov/nchs/nvss/index.htm ]. 


Trend
   Rising when 95% confidence interval of average annual percent change is above 0.
   Stable when 95% confidence interval of average annual percent change includes 0.
   Falling when 95% confidence interval of average annual percent change is below 0.

"(†) Death rates (deaths per 100,000 population per year) are age-adjusted to the 2000 US standard population [https://www.seer.cancer.gov/stdpopulations/stdpop.19ages.html] (19 age groups: <1, 1-4, 5-9, ... , 80-84, 85+). Rates calculated using SEER*Stat. Population counts for denominators are based on Census populations as modified [https://seer.cancer.gov/popdata/] by NCI. The US Population Data File [https://seer.cancer.gov/popdata/] is used for mortality data. \n"
State Health Departments [ https://www.usa.gov/state-health ] may provide more current or more local data.
"(‡) The Average Annual Percent Change (AAPC) is based on the APCs calculated by Joinpoint Regression Program (Version 4.9.0.0). Due to data availability issues, the time period used in the calculation of the joinpoint regression model may differ for selected counties. \n"
"For more information about Heart Disease, see the definitions at http://hdpulse.nimhd.nih.gov/data/cod.html#heart."
Data for United States does not include Puerto Rico.

"Please note that the data comes from different sources. Due to different years ( https://hdpulse.nimhd.nih.gov/data/historicaltrend/differences.html ) of data availability, most of the trends are AAPCs based on APCs but some are APCs calculated in SEER*Stat. ( https://seer.cancer.gov/seerstat/ ) Please refer to the source for each graph for additional information. "

"Interpret Rankings provides insight into interpreting mortality statistics.  When the population size for a denominator is small, the rates may be unstable.  A rate is unstable when a small change in the numerator (e.g., only one or two additional deaths) has a dramatic effect on the calculated rate."
"Rural-Urban Continuum Codes (developed by the United States Department of Agriculture (USDA) [ https://www.ers.usda.gov/data-products/rural-urban-continuum-codes.aspx ] ) are used on this website to distinguish which counties are rural and urban; additionally, how much of a state’s population is classified as rural or urban. For more information about using Rural-Urban Continuum Codes, go to the rural urban [ http://hdpulse.nimhd.nih.gov/data/ruralurban.html ] page."

